"","image","specie","group","id","length","area","width","depth","tip_count"
"79","dicot-sim-105-8-20.rsml.jpg","dicot","105","8",105.09673,260.79025,6.536267,21.065067,57
"80","dicot-sim-105-9-20.rsml.jpg","dicot","105","9",96.27447,241.554,5.7742667,21.0566,57
"81","dicot-sim-106-1-8.rsml.jpg","dicot","106","1",131.41605,1752.6447,8.965692,14.951795,63
"82","dicot-sim-106-10-8.rsml.jpg","dicot","106","10",126.885056,1655.8137,9.405519,14.941499,64
"83","dicot-sim-106-2-8.rsml.jpg","dicot","106","2",121.87437,1414.9232,10.353836,14.950897,62
"84","dicot-sim-106-3-8.rsml.jpg","dicot","106","3",124.33426,1562.2563,9.828953,14.942396,61
"85","dicot-sim-106-4-8.rsml.jpg","dicot","106","4",118.93127,1658.6877,8.017933,14.943666,58
"86","dicot-sim-106-5-8.rsml.jpg","dicot","106","5",138.24318,1560.9103,10.937343,14.945505,67
"87","dicot-sim-106-6-8.rsml.jpg","dicot","106","6",131.95607,1624.4746,9.82704,14.947341,61
"88","dicot-sim-106-7-8.rsml.jpg","dicot","106","7",146.06947,1713.3412,9.750993,14.948916,67
"89","dicot-sim-106-8-8.rsml.jpg","dicot","106","8",141.86093,1543.9034,11.221212,14.94282,62
"90","dicot-sim-106-9-8.rsml.jpg","dicot","106","9",134.22066,1646.6736,9.952253,14.943353,64
"91","dicot-sim-107-1-20.rsml.jpg","dicot","107","1",35.856335,95.4278,3.4713333,20.032133,18
"92","dicot-sim-107-10-20.rsml.jpg","dicot","107","10",37.659733,95.54633,3.8862,20.023666,22
"93","dicot-sim-107-2-20.rsml.jpg","dicot","107","2",48.429333,111.7346,4.885267,20.0406,29
"94","dicot-sim-107-3-20.rsml.jpg","dicot","107","3",46.1772,109.60947,4.732867,20.0406,26
"95","dicot-sim-107-4-20.rsml.jpg","dicot","107","4",38.083065,103.64893,3.4798,20.0406,21
"96","dicot-sim-107-5-20.rsml.jpg","dicot","107","5",37.1856,102.87846,3.5729332,20.032133,22
"97","dicot-sim-107-6-20.rsml.jpg","dicot","107","6",44.763268,107.70447,4.3264666,20.0406,26
"98","dicot-sim-107-7-20.rsml.jpg","dicot","107","7",32.198734,97.5106,3.3612666,20.0406,20
"99","dicot-sim-107-8-20.rsml.jpg","dicot","107","8",33.384068,97.730736,3.0141332,20.0406,18
"100","dicot-sim-107-9-20.rsml.jpg","dicot","107","9",46.261868,110.278336,4.7159333,20.0406,25
"101","dicot-sim-108-1-20.rsml.jpg","dicot","108","1",52.213932,158.73306,4.6312666,22.0472,34
"102","dicot-sim-108-10-20.rsml.jpg","dicot","108","10",53.5178,159.30034,3.6068,22.0472,39
"103","dicot-sim-108-2-20.rsml.jpg","dicot","108","2",45.499866,153.797,3.5983334,22.0472,30
"104","dicot-sim-108-3-20.rsml.jpg","dicot","108","3",48.370068,153.31439,3.5898666,22.0472,35
"105","dicot-sim-108-4-20.rsml.jpg","dicot","108","4",46.3296,153.98326,3.4036,22.0472,33
"106","dicot-sim-108-5-20.rsml.jpg","dicot","108","5",44.644733,151.26547,3.3274,22.0472,29
"107","dicot-sim-108-6-20.rsml.jpg","dicot","108","6",46.346535,151.3078,3.0310667,22.0472,32
"108","dicot-sim-108-7-20.rsml.jpg","dicot","108","7",51.7906,163.61833,4.4365335,22.0472,37
"109","dicot-sim-108-8-20.rsml.jpg","dicot","108","8",40.352135,143.8148,3.2342668,22.0472,26
"110","dicot-sim-108-9-20.rsml.jpg","dicot","108","9",54.1274,165.85353,3.7168667,22.0472,38
"111","dicot-sim-109-1-20.rsml.jpg","dicot","109","1",134.99254,469.25653,3.8184667,17.111134,112
"112","dicot-sim-109-10-20.rsml.jpg","dicot","109","10",120.506065,426.085,3.2088666,17.1196,108
"113","dicot-sim-109-2-20.rsml.jpg","dicot","109","2",116.5352,419.98898,3.556,17.111134,110
"114","dicot-sim-109-3-20.rsml.jpg","dicot","109","3",131.3688,473.15118,3.7930667,17.1196,112
"115","dicot-sim-109-4-20.rsml.jpg","dicot","109","4",127.507996,454.5076,3.3443334,17.1196,99
"116","dicot-sim-109-5-20.rsml.jpg","dicot","109","5",117.00086,444.38992,3.683,17.111134,96
"117","dicot-sim-109-6-20.rsml.jpg","dicot","109","6",132.26627,479.6282,3.3951333,17.1196,103
"118","dicot-sim-109-7-20.rsml.jpg","dicot","109","7",121.6152,437.9722,3.9285333,17.111134,106
"119","dicot-sim-109-8-20.rsml.jpg","dicot","109","8",117.38187,422.3258,3.7253332,17.111134,102
"120","dicot-sim-109-9-20.rsml.jpg","dicot","109","9",124.42613,456.17554,3.5814,17.1196,114
"121","dicot-sim-11-1-20.rsml.jpg","dicot","11","1",22.394333,101.79473,2.6162,11.557,19
"122","dicot-sim-11-10-20.rsml.jpg","dicot","11","10",32.198734,122.00467,2.9633334,11.557,30
"123","dicot-sim-11-2-20.rsml.jpg","dicot","11","2",35.754734,130.36127,3.3528,11.557,29
"124","dicot-sim-11-3-20.rsml.jpg","dicot","11","3",32.63053,124.146736,3.4713333,11.557,30
"125","dicot-sim-11-4-20.rsml.jpg","dicot","11","4",28.3972,117.161736,2.6162,11.557,26
"126","dicot-sim-11-5-20.rsml.jpg","dicot","11","5",30.9118,123.7996,3.0056667,11.557,27
"127","dicot-sim-11-6-20.rsml.jpg","dicot","11","6",31.225067,121.91153,2.7516665,11.557,32
"128","dicot-sim-11-7-20.rsml.jpg","dicot","11","7",34.7472,127.13547,3.9285333,11.557,26
"129","dicot-sim-11-8-20.rsml.jpg","dicot","11","8",37.422665,129.6416,3.3782,11.557,33
"130","dicot-sim-11-9-20.rsml.jpg","dicot","11","9",31.936266,122.682,3.1665332,11.557,26
"131","dicot-sim-110-1-20.rsml.jpg","dicot","110","1",38.01533,108.56807,2.5230668,22.5298,19
"132","dicot-sim-110-10-20.rsml.jpg","dicot","110","10",36.829998,108.59347,2.6416,22.5298,18
"133","dicot-sim-110-2-20.rsml.jpg","dicot","110","2",33.113132,97.425934,2.1928666,22.5298,18
"134","dicot-sim-110-3-20.rsml.jpg","dicot","110","3",37.549667,92.642265,2.9125333,22.5298,19
"135","dicot-sim-110-4-20.rsml.jpg","dicot","110","4",33.434868,92.1004,1.9812,22.5298,19
"136","dicot-sim-110-5-20.rsml.jpg","dicot","110","5",33.697334,98.78906,2.1420667,22.5298,16
"137","dicot-sim-110-6-20.rsml.jpg","dicot","110","6",33.815865,96.426865,2.7262666,22.5298,18
"138","dicot-sim-110-7-20.rsml.jpg","dicot","110","7",34.450867,100.753334,2.3368,22.5298,20
"139","dicot-sim-110-8-20.rsml.jpg","dicot","110","8",33.282467,105.03747,2.8956,22.5298,16
"140","dicot-sim-110-9-20.rsml.jpg","dicot","110","9",34.476265,103.886,2.2182667,22.5298,16
"141","dicot-sim-111-1-20.rsml.jpg","dicot","111","1",128.2192,649.10547,4.1656,19.625732,38
"142","dicot-sim-111-10-20.rsml.jpg","dicot","111","10",137.287,679.3992,3.8777332,19.625732,47
"143","dicot-sim-111-2-20.rsml.jpg","dicot","111","2",130.62373,676.8592,3.9624,19.6342,45
"144","dicot-sim-111-3-20.rsml.jpg","dicot","111","3",130.57294,713.6892,4.3010664,19.6342,34
"145","dicot-sim-111-4-20.rsml.jpg","dicot","111","4",129.01506,663.32947,4.0386,19.625732,40
"146","dicot-sim-111-5-20.rsml.jpg","dicot","111","5",131.07246,665.7848,3.9962666,19.6342,43
"147","dicot-sim-111-6-20.rsml.jpg","dicot","111","6",123.79113,656.95404,4.0132,19.625732,36
"148","dicot-sim-111-7-20.rsml.jpg","dicot","111","7",137.7188,702.3354,4.1994667,19.6342,44
"149","dicot-sim-111-8-20.rsml.jpg","dicot","111","8",135.8646,687.35785,4.1148,19.6342,44
