"","image","specie","group","id","tree_size","tree_magnitude","tree_altitude","tree_index"
"143","dicot-sim-111-2-20.rsml","dicot","111","2",97,49,49,1
"144","dicot-sim-111-3-20.rsml","dicot","111","3",85,43,43,1
"145","dicot-sim-111-4-20.rsml","dicot","111","4",91,46,46,1
"146","dicot-sim-111-5-20.rsml","dicot","111","5",93,47,47,1
"147","dicot-sim-111-6-20.rsml","dicot","111","6",89,45,45,1
"148","dicot-sim-111-7-20.rsml","dicot","111","7",93,47,47,1
"149","dicot-sim-111-8-20.rsml","dicot","111","8",97,49,49,1
"150","dicot-sim-111-9-20.rsml","dicot","111","9",93,47,47,1
"151","dicot-sim-112-1-20.rsml","dicot","112","1",135,68,68,1
"152","dicot-sim-112-10-20.rsml","dicot","112","10",117,59,59,1
"153","dicot-sim-112-2-20.rsml","dicot","112","2",131,66,66,1
"154","dicot-sim-112-3-20.rsml","dicot","112","3",113,57,57,1
"155","dicot-sim-112-4-20.rsml","dicot","112","4",127,64,64,1
"156","dicot-sim-112-5-20.rsml","dicot","112","5",125,63,63,1
"157","dicot-sim-112-6-20.rsml","dicot","112","6",125,63,63,1
"158","dicot-sim-112-7-20.rsml","dicot","112","7",119,60,60,1
"159","dicot-sim-112-8-20.rsml","dicot","112","8",129,65,65,1
"160","dicot-sim-112-9-20.rsml","dicot","112","9",125,63,63,1
"161","dicot-sim-113-1-14.rsml","dicot","113","1",197,99,99,1
"162","dicot-sim-113-10-14.rsml","dicot","113","10",199,100,100,1
"163","dicot-sim-113-2-14.rsml","dicot","113","2",195,98,98,1
"164","dicot-sim-113-3-14.rsml","dicot","113","3",191,96,96,1
"165","dicot-sim-113-4-14.rsml","dicot","113","4",193,97,97,1
"166","dicot-sim-113-5-14.rsml","dicot","113","5",205,103,103,1
"167","dicot-sim-113-6-14.rsml","dicot","113","6",195,98,98,1
"168","dicot-sim-113-7-14.rsml","dicot","113","7",197,99,99,1
"169","dicot-sim-113-8-14.rsml","dicot","113","8",195,98,98,1
"170","dicot-sim-113-9-14.rsml","dicot","113","9",193,97,97,1
"171","dicot-sim-114-1-20.rsml","dicot","114","1",55,28,28,1
"172","dicot-sim-114-10-20.rsml","dicot","114","10",53,27,27,1
"173","dicot-sim-114-2-20.rsml","dicot","114","2",63,32,32,1
"174","dicot-sim-114-3-20.rsml","dicot","114","3",59,30,30,1
"175","dicot-sim-114-4-20.rsml","dicot","114","4",59,30,30,1
"176","dicot-sim-114-5-20.rsml","dicot","114","5",65,33,33,1
"177","dicot-sim-114-6-20.rsml","dicot","114","6",57,29,29,1
"178","dicot-sim-114-7-20.rsml","dicot","114","7",61,31,31,1
"179","dicot-sim-114-8-20.rsml","dicot","114","8",63,32,32,1
"180","dicot-sim-114-9-20.rsml","dicot","114","9",53,27,27,1
"181","dicot-sim-115-1-20.rsml","dicot","115","1",75,38,38,1
"182","dicot-sim-115-10-20.rsml","dicot","115","10",57,29,29,1
"183","dicot-sim-115-2-20.rsml","dicot","115","2",59,30,30,1
"184","dicot-sim-115-3-20.rsml","dicot","115","3",59,30,30,1
"185","dicot-sim-115-4-20.rsml","dicot","115","4",59,30,30,1
"186","dicot-sim-115-5-20.rsml","dicot","115","5",57,29,29,1
