image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
monocot-sim-241-2-25.rsml,4304.28,85.17467,234.95001,22.380344,12,2323.0,194.15562,0.30699942,0.2850478,294,1818.0,6.715691,0.10288189,52.397705,600,306.0,39.0,0.12745099,0.5668394
monocot-sim-241-3-25.rsml,3449.8792,86.78333,234.95001,23.031363,12,2322.0,193.9892,0.30699942,0.1810414,151,1038.0,7.430524,0.10306936,50.935173,314,163.0,29.0,0.17791411,0.5041322
monocot-sim-241-4-25.rsml,3739.4321,80.34867,234.95001,23.117178,12,2297.0,191.92299,0.30699942,0.24699773,187,1336.0,7.681051,0.10414186,51.10237,386,199.0,32.0,0.16080402,0.49673203
monocot-sim-241-5-25.rsml,4321.7617,86.02134,234.95001,22.527746,12,2328.0,194.61765,0.30699942,0.29232165,304,1835.0,6.5340385,0.102569245,51.890743,620,316.0,39.0,0.12341772,0.59049547
monocot-sim-241-6-25.rsml,3588.1648,75.861336,234.95001,22.926113,12,2298.0,191.97374,0.30699942,0.1874217,160,1191.0,8.027997,0.10356356,52.008015,332,172.0,26.0,0.15116279,0.5486381
monocot-sim-241-7-25.rsml,4460.8726,95.758,234.95001,22.757372,12,2324.0,194.35129,0.30699942,0.30735025,318,1966.0,6.6938934,0.10355355,52.48063,648,330.0,42.0,0.12727273,0.56949806
monocot-sim-241-8-25.rsml,3692.7424,103.378006,234.95001,23.203081,12,2332.0,195.10004,0.30699942,0.2057423,179,1250.0,7.5505147,0.104572624,52.04055,370,191.0,30.0,0.15706806,0.47231835
monocot-sim-241-9-25.rsml,4419.443,93.89534,234.95001,22.483335,12,2324.0,194.08197,0.30699942,0.28903332,315,1938.0,6.636385,0.103125714,52.75802,642,327.0,45.0,0.13761468,0.57848835
monocot-sim-242-1-18.rsml,25587.344,62.230003,264.922,22.384348,16,2149.0,134.8258,0.36399898,0.79616576,1957,22393.0,11.972474,0.10407939,35.772564,3930,1973.0,575.0,0.29143438,0.70316553
monocot-sim-242-10-18.rsml,24874.113,60.536667,264.922,22.68861,16,2146.0,134.72932,0.36399898,0.7281611,1925,21686.0,11.801786,0.104754195,35.66663,3866,1941.0,537.0,0.27666152,0.70680696
monocot-sim-242-2-18.rsml,25725.475,61.806667,264.922,22.717325,16,2147.0,134.77538,0.36399898,0.715579,2027,22471.0,11.627564,0.10280217,35.253117,4070,2043.0,605.0,0.29613313,0.7001784
monocot-sim-242-3-18.rsml,24908.455,62.399334,264.922,22.384089,16,2148.0,134.85587,0.36399898,0.7995866,1927,21713.0,11.806311,0.10428923,35.42052,3870,1943.0,507.0,0.2609367,0.7085327
monocot-sim-242-4-18.rsml,25953.37,67.39467,264.922,22.251057,16,2149.0,134.98756,0.36399898,0.7315657,1999,22723.0,11.902734,0.10474797,34.833504,4014,2015.0,583.0,0.28933004,0.7043079
monocot-sim-242-5-18.rsml,25770.217,66.46333,265.00668,22.242712,16,2145.0,134.71472,0.36399898,0.76468515,1957,22554.0,12.066815,0.10434835,35.91145,3930,1973.0,552.0,0.279777,0.709112
