image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
dicot-sim-367-1-25.rsml,1371.4039,30.056667,289.98334,22.76906,1,294.0,295.0,0.6447177,0.26155,61,1042.0,17.645966,0.17629993,26.850704,123,62.0,62.0,1.0,0.29836065
dicot-sim-367-10-25.rsml,1366.0018,33.697334,289.98334,22.939285,1,294.0,295.0,0.7146247,0.23582378,55,1041.0,19.472761,0.18516964,25.71563,111,56.0,56.0,1.0,0.2785235
dicot-sim-367-2-25.rsml,1341.2251,25.484667,289.98334,22.868788,1,294.0,294.9932,0.6580965,0.27893406,63,1012.0,16.606861,0.17840023,29.238768,127,64.0,64.0,1.0,0.32996634
dicot-sim-367-3-25.rsml,1467.4227,25.569334,289.98334,22.801414,1,294.0,294.9981,0.6783212,0.25615737,61,1135.0,19.22008,0.17979036,27.44715,123,62.0,62.0,1.0,0.38271606
dicot-sim-367-4-25.rsml,1463.8201,33.528,289.98334,22.90396,1,294.0,294.99994,0.6457506,0.30323604,67,1131.0,17.44508,0.17665713,30.100183,135,68.0,68.0,1.0,0.36085626
dicot-sim-367-5-25.rsml,1371.737,30.310667,289.98334,23.123302,1,294.0,294.99982,0.62451094,0.2592113,56,1044.0,19.227453,0.17477466,32.84642,113,57.0,57.0,1.0,0.3183391
dicot-sim-367-6-25.rsml,1331.6547,31.242,289.98334,22.553082,1,294.0,294.99796,0.6619887,0.28125304,58,1009.0,17.87339,0.17847294,27.334606,117,59.0,59.0,1.0,0.34931508
dicot-sim-367-7-25.rsml,1393.889,28.871334,289.98334,22.555845,1,294.0,294.9999,0.6437542,0.2806065,62,1060.0,17.724016,0.1758272,30.062565,125,63.0,63.0,1.0,0.2254902
dicot-sim-367-8-25.rsml,1483.8989,26.077333,289.98334,22.835312,1,294.0,294.99872,0.6320189,0.29037553,72,1147.0,16.512497,0.17238785,27.71524,145,73.0,73.0,1.0,0.32844576
dicot-sim-367-9-25.rsml,1582.6322,29.887335,289.98334,22.644087,1,294.0,294.99344,0.6936939,0.31398553,74,1249.0,17.400526,0.17894086,26.13529,149,75.0,75.0,1.0,0.31967214
dicot-sim-368-1-25.rsml,402.90686,15.070667,264.922,21.755827,1,269.0,269.99884,0.29156828,0.11443217,16,124.0,8.306744,0.08673205,49.82011,33,17.0,17.0,1.0,0.21428572
