"","image","specie","group","id","mean_prim_diameter","mean_lat_diameter"
"158","dicot-sim-112-7-20.rsml","dicot","112","7",0.12662122,0.032907214
"159","dicot-sim-112-8-20.rsml","dicot","112","8",0.12571321,0.032259975
"160","dicot-sim-112-9-20.rsml","dicot","112","9",0.12870456,0.03460456
"161","dicot-sim-113-1-14.rsml","dicot","113","1",0.372569,0.070464514
"162","dicot-sim-113-10-14.rsml","dicot","113","10",0.36993876,0.071210615
"163","dicot-sim-113-2-14.rsml","dicot","113","2",0.3621128,0.071825944
"164","dicot-sim-113-3-14.rsml","dicot","113","3",0.3650433,0.065362126
"165","dicot-sim-113-4-14.rsml","dicot","113","4",0.3608879,0.067571506
"166","dicot-sim-113-5-14.rsml","dicot","113","5",0.39321333,0.06755084
"167","dicot-sim-113-6-14.rsml","dicot","113","6",0.3603565,0.06730163
"168","dicot-sim-113-7-14.rsml","dicot","113","7",0.37312675,0.06897264
"169","dicot-sim-113-8-14.rsml","dicot","113","8",0.36075962,0.067618184
"170","dicot-sim-113-9-14.rsml","dicot","113","9",0.3689202,0.07075336
"171","dicot-sim-114-1-20.rsml","dicot","114","1",0.073660254,0.021292303
"172","dicot-sim-114-10-20.rsml","dicot","114","10",0.07550547,0.021710176
"173","dicot-sim-114-2-20.rsml","dicot","114","2",0.07992021,0.021787673
"174","dicot-sim-114-3-20.rsml","dicot","114","3",0.07792586,0.021649327
"175","dicot-sim-114-4-20.rsml","dicot","114","4",0.0823743,0.02185533
"176","dicot-sim-114-5-20.rsml","dicot","114","5",0.07398597,0.02120641
"177","dicot-sim-114-6-20.rsml","dicot","114","6",0.07456993,0.021054158
"178","dicot-sim-114-7-20.rsml","dicot","114","7",0.077107556,0.021723067
"179","dicot-sim-114-8-20.rsml","dicot","114","8",0.082815014,0.021778405
"180","dicot-sim-114-9-20.rsml","dicot","114","9",0.07772432,0.021052483
"181","dicot-sim-115-1-20.rsml","dicot","115","1",0.046189163,0.014090132
