"","image","specie","group","id","diam_max","diam_mode","diam_mean"
"35","dicot-sim-101-4-20.rsml.jpg","dicot","101","4",0.0508,0.008466667,0.018017387
"36","dicot-sim-101-5-20.rsml.jpg","dicot","101","5",0.059266668,0.008466667,0.018405529
"37","dicot-sim-101-6-20.rsml.jpg","dicot","101","6",0.0508,0.008466667,0.01945375
"38","dicot-sim-101-7-20.rsml.jpg","dicot","101","7",0.06773333,0.008466667,0.017512769
"39","dicot-sim-101-8-20.rsml.jpg","dicot","101","8",0.0508,0.008466667,0.018105641
"40","dicot-sim-101-9-20.rsml.jpg","dicot","101","9",0.059266668,0.008466667,0.017506966
"41","dicot-sim-102-1-20.rsml.jpg","dicot","102","1",0.033866666,0.008466667,0.01678983
"42","dicot-sim-102-10-20.rsml.jpg","dicot","102","10",0.033866666,0.008466667,0.015347358
"43","dicot-sim-102-2-20.rsml.jpg","dicot","102","2",0.033866666,0.008466667,0.014766413
"44","dicot-sim-102-3-20.rsml.jpg","dicot","102","3",0.033866666,0.008466667,0.014611828
"45","dicot-sim-102-4-20.rsml.jpg","dicot","102","4",0.033866666,0.008466667,0.015405948
"46","dicot-sim-102-5-20.rsml.jpg","dicot","102","5",0.033866666,0.008466667,0.015024382
"47","dicot-sim-102-6-20.rsml.jpg","dicot","102","6",0.033866666,0.008466667,0.015374874
"48","dicot-sim-102-7-20.rsml.jpg","dicot","102","7",0.033866666,0.008466667,0.014796275
"49","dicot-sim-102-8-20.rsml.jpg","dicot","102","8",0.033866666,0.008466667,0.016462963
"50","dicot-sim-102-9-20.rsml.jpg","dicot","102","9",0.033866666,0.0254,0.017322054
"51","dicot-sim-103-1-20.rsml.jpg","dicot","103","1",0.0762,0.008466667,0.016722372
"52","dicot-sim-103-10-20.rsml.jpg","dicot","103","10",0.0762,0.008466667,0.01628484
"53","dicot-sim-103-2-20.rsml.jpg","dicot","103","2",0.0762,0.008466667,0.016348863
"54","dicot-sim-103-3-20.rsml.jpg","dicot","103","3",0.0762,0.008466667,0.016651258
"55","dicot-sim-103-4-20.rsml.jpg","dicot","103","4",0.0762,0.008466667,0.016763238
"56","dicot-sim-103-5-20.rsml.jpg","dicot","103","5",0.0762,0.008466667,0.016956856
