"","image","diam_max","diam_mean","diam_mode","length","area","width","depth","width_depth_ratio","com_x","com_y","tip_count","cross_vert_mean","cross_vert_max","convexhull","specie","group","id","PL.PC1","PL.PC2","PL.PC3","width50","count50","exploration"
"38","dicot-sim-101-7-20.rsml.jpg",0.06773333,0.017512769,0.008466667,79.05327,277.25793,4.7582664,30.547733,0.15576497,0.477361,0.42202014,50,19.251825,2401,247899,"dicot","101","7",-270.449274172774,112.381951073116,3.06930582998672,0.164821654516959,2.0120482,0.0011184310142437
"39","dicot-sim-101-8-20.rsml.jpg",0.0508,0.018105641,0.008466667,79.79833,290.2204,4.7497997,30.547733,0.1554878,0.4498572,0.40640816,44,21.074627,2631,147579,"dicot","101","8",-301.937163334111,79.3975780606974,29.157335154697,0.0747474650168357,2.746988,0.00196654266528436
"40","dicot-sim-101-9-20.rsml.jpg",0.059266668,0.017506966,0.008466667,76.978935,269.7734,3.9115999,30.547733,0.12804878,0.49447116,0.41631255,48,14.502262,507,137400,"dicot","101","9",-289.585232412248,59.2605168439553,-62.5221086518133,0.388888865287358,1.8674699,0.00196341630276565
"41","dicot-sim-102-1-20.rsml.jpg",0.033866666,0.01678983,0.008466667,14.486466,48.573265,1.0837333,8.542867,0.12685828,0.343782,0.40964982,8,21.102041,493,7888,"dicot","102","1",-242.21604114472,-52.9031651794335,-72.8280175263604,0.919431279620853,3.85,0.00615786828093306
"42","dicot-sim-102-10-20.rsml.jpg",0.033866666,0.015347358,0.008466667,17.6276,51.164066,1.6171334,8.542867,0.18929633,0.55101657,0.41142353,11,13.011495,608,18637,"dicot","102","10",-155.472324662759,-87.2282118125295,-132.505965782296,0.949554967114274,5.35,0.00274529516553093
"43","dicot-sim-102-2-20.rsml.jpg",0.033866666,0.014766413,0.008466667,17.8308,50.1142,2.0912666,8.542867,0.24479683,0.49853763,0.39915326,10,7.473214,126,12372,"dicot","102","2",-101.693846868026,-219.544907666408,-28.1530847216365,0.963302766326488,3.9,0.00405061429033301
"44","dicot-sim-102-3-20.rsml.jpg",0.033866666,0.014611828,0.008466667,18.372667,50.207333,1.4139333,8.542867,0.1655104,0.74104977,0.3963487,12,16.216217,606,14950,"dicot","102","3",-174.300618905842,-142.742008881331,14.3933648248071,0.951515049076232,3.75,0.00335835003344482
"45","dicot-sim-102-4-20.rsml.jpg",0.033866666,0.015405948,0.008466667,17.365133,50.766132,1.6594666,8.542867,0.19425173,0.39310986,0.40649185,12,14,668,5948,"dicot","102","4",-157.892185024644,-150.592480457044,-80.2200159373204,0.951428568388571,4.4,0.00853499193006052
"46","dicot-sim-102-5-20.rsml.jpg",0.033866666,0.015024382,0.008466667,17.686867,51.206398,1.8034,8.542867,0.2111001,0.5196961,0.40473798,11,11.178218,317,17337,"dicot","102","5",-109.995346258791,-114.730389026142,-107.018856919725,0.958231011336625,5.225,0.00295359047124647
"47","dicot-sim-102-6-20.rsml.jpg",0.033866666,0.015374874,0.008466667,17.432867,51.443466,1.5324667,8.542867,0.17938553,0.35447136,0.4163834,10,18.662163,898,13204,"dicot","102","6",-173.683421020719,-65.023100721293,-155.385343734161,0.946372103757639,6.05,0.00389605165101484
