"","image","tot_root_length","width","depth","direction","n_primary","tot_prim_length","mean_prim_length","mean_prim_diameter","mean_lat_density","n_laterals","tot_lat_length","mean_lat_length","mean_lat_diameter","mean_lat_angle","tree_size","tree_magnitude","tree_altitude","tree_index","specie","group","id"
"63","dicot-sim-104-2-20.rsml",268.75305,11.176,29.497866,2.2855744,1,30,30,0.09459966,2.4727457,57,208,4.18865,0.03125437,46.634113,115,58,58,1,"dicot","104","2"
"64","dicot-sim-104-3-20.rsml",233.9099,10.651067,29.497866,2.2861514,1,29,29.999933,0.09259601,2.2182462,52,176,3.9213452,0.031650618,45.238796,105,53,53,1,"dicot","104","3"
"65","dicot-sim-104-4-20.rsml",275.1316,10.2108,29.497866,2.318854,1,29,29.999905,0.097258784,2.5153859,57,215,4.300556,0.030983923,47.49966,115,58,58,1,"dicot","104","4"
"66","dicot-sim-104-5-20.rsml",257.58148,9.872133,29.497866,2.2077281,1,29,29.9999,0.096484356,2.3888836,56,196,4.0639567,0.03247779,44.03355,113,57,57,1,"dicot","104","5"
"67","dicot-sim-104-6-20.rsml",239.20126,9.795933,29.497866,2.262296,1,29,29.999973,0.09862547,2.5595114,60,178,3.486688,0.03191765,43.21123,121,61,61,1,"dicot","104","6"
"68","dicot-sim-104-7-20.rsml",241.07144,11.192933,29.497866,2.2315032,1,29,29.999718,0.094744675,2.4248142,54,180,3.908736,0.031235633,43.518887,109,55,55,1,"dicot","104","7"
"69","dicot-sim-104-8-20.rsml",261.36612,12.4036665,29.497866,2.4002345,1,29,29.999628,0.09666277,2.4742253,58,196,3.989077,0.032301523,45.31178,117,59,59,1,"dicot","104","8"
"70","dicot-sim-104-9-20.rsml",257.4639,10.752666,29.497866,2.3357522,1,29,29.99879,0.09426346,2.559624,59,197,3.8553405,0.03179945,42.408646,119,60,60,1,"dicot","104","9"
"71","dicot-sim-105-1-20.rsml",126.740555,6.5532,20.497799,2.2175562,1,20,20.999369,0.066050045,3.3812006,61,68,1.7334623,0.015135792,57.90622,123,62,62,1,"dicot","105","1"
"72","dicot-sim-105-10-20.rsml",124.9539,4.572,20.497799,2.3494139,1,20,20.999527,0.06519371,3.3257492,60,72,1.7325728,0.015364858,54.298058,121,61,61,1,"dicot","105","10"
"73","dicot-sim-105-2-20.rsml",112.01916,5.0884666,20.497799,2.3195906,1,20,20.999826,0.06257846,3.3884575,60,59,1.5169888,0.014728265,54.5417,121,61,61,1,"dicot","105","2"
"74","dicot-sim-105-3-20.rsml",110.29223,5.884333,20.497799,2.398627,1,20,20.999996,0.06536322,3.176368,52,61,1.7171582,0.015552733,54.96938,105,53,53,1,"dicot","105","3"
"75","dicot-sim-105-4-20.rsml",105.40592,5.1562,20.497799,2.30419,1,20,20.999958,0.06336705,3.1039774,56,51,1.5072494,0.015190915,56.382664,113,57,57,1,"dicot","105","4"
"76","dicot-sim-105-5-20.rsml",109.95448,5.3678665,20.497799,2.3540099,1,20,20.99995,0.06457445,3.270263,59,57,1.5077038,0.015296269,55.408955,119,60,60,1,"dicot","105","5"
"77","dicot-sim-105-6-20.rsml",131.50497,6.1298666,20.497799,2.282682,1,20,20.999247,0.0674243,3.4920764,63,71,1.754059,0.015522062,57.21167,127,64,64,1,"dicot","105","6"
"78","dicot-sim-105-7-20.rsml",123.002144,5.9012666,20.497799,2.231631,1,20,20.999947,0.06557947,3.4449124,61,69,1.6721674,0.015306637,59.448803,123,62,62,1,"dicot","105","7"
"79","dicot-sim-105-8-20.rsml",125.41105,6.0875335,20.497799,2.2620742,1,20,20.9999,0.06598157,3.5013914,62,71,1.6840507,0.015035342,55.86028,125,63,63,1,"dicot","105","8"
"80","dicot-sim-105-9-20.rsml",111.13755,5.1816,20.497799,2.2723055,1,20,20.999966,0.06383374,3.2190156,57,57,1.5813614,0.015102314,53.966938,115,58,58,1,"dicot","105","9"
"81","dicot-sim-106-1-8.rsml",174.02563,8.128,13.995399,2.2528827,1,14,14.497347,0.4378709,6.000022,74,122,2.1557882,0.09648783,49.3061,149,75,75,1,"dicot","106","1"
"82","dicot-sim-106-10-8.rsml",172.61018,8.568267,13.995399,2.4047916,1,14,14.498723,0.45943794,5.999388,74,114,2.1366408,0.09273752,50.514355,149,75,75,1,"dicot","106","10"
"83","dicot-sim-106-2-8.rsml",156.96405,9.6012,13.986933,2.2656717,1,14,14.494905,0.42356008,6.0011477,74,100,1.925259,0.09175109,51.599064,149,75,75,1,"dicot","106","2"
"84","dicot-sim-106-3-8.rsml",171.22485,9.101666,13.986933,2.298176,1,14,14.499541,0.44620863,5.999011,74,118,2.1179097,0.10175294,45.783947,149,75,75,1,"dicot","106","3"
"85","dicot-sim-106-4-8.rsml",166.2585,7.2644,13.995399,2.210014,1,14,14.499892,0.46155643,5.998849,74,114,2.0507917,0.0922278,47.475292,149,75,75,1,"dicot","106","4"
"86","dicot-sim-106-5-8.rsml",181.0665,10.1346,13.995399,2.2207437,1,14,14.49832,0.46634588,5.9995737,74,124,2.250921,0.09739733,50.512886,149,75,75,1,"dicot","106","5"
"87","dicot-sim-106-6-8.rsml",176.36122,9.000067,13.995399,2.260536,1,14,14.497294,0.4306116,6.0000477,74,123,2.1873505,0.0910643,49.066216,149,75,75,1,"dicot","106","6"
"88","dicot-sim-106-7-8.rsml",182.58253,8.923866,13.986933,2.2129176,1,14,14.495205,0.4458651,6.0010095,74,127,2.2714505,0.09413143,54.11034,149,75,75,1,"dicot","106","7"
"89","dicot-sim-106-8-8.rsml",188.88885,10.430933,13.995399,2.286901,1,14,14.499447,0.45331144,5.9990544,74,132,2.3566134,0.0949408,53.01536,149,75,75,1,"dicot","106","8"
"90","dicot-sim-106-9-8.rsml",177.73047,9.135533,13.986933,2.2228615,1,14,14.494419,0.44348705,6.001372,74,117,2.205892,0.09534418,53.194145,149,75,75,1,"dicot","106","9"
"91","dicot-sim-107-1-20.rsml",38.139885,2.6585333,19.490267,2.2480948,1,19,19.996231,0.037896395,1.7243637,18,7,1.0079807,0.008938926,63.459736,37,19,19,1,"dicot","107","1"
"92","dicot-sim-107-10-20.rsml",39.37686,3.0395334,19.490267,2.1271265,1,19,19.996607,0.03688366,1.8474828,20,7,0.96901286,0.009717597,62.78416,41,21,21,1,"dicot","107","10"
"93","dicot-sim-107-2-20.rsml",50.909107,4.0386,19.490267,2.1646023,1,19,19.99892,0.039940827,2.3358943,28,18,1.1039355,0.009469054,61.085716,57,29,29,1,"dicot","107","2"
"94","dicot-sim-107-3-20.rsml",47.964336,3.8862,19.498734,2.3178532,1,19,19.999474,0.038884144,2.002128,24,15,1.1652029,0.008561577,67.75834,49,25,25,1,"dicot","107","3"
"95","dicot-sim-107-4-20.rsml",39.25446,2.6331334,19.498734,2.4154303,1,19,19.999432,0.039588213,1.6943222,19,6,1.0134224,0.009630896,70.66966,39,20,20,1,"dicot","107","4"
"96","dicot-sim-107-5-20.rsml",38.869457,2.8617332,19.490267,2.1654394,1,19,19.999998,0.03925253,1.6683769,20,8,0.9434728,0.009262655,62.52356,41,21,21,1,"dicot","107","5"
"97","dicot-sim-107-6-20.rsml",46.6116,3.5052,19.490267,2.251212,1,19,19.99961,0.038210437,2.308974,25,13,1.0644795,0.009136007,64.066696,51,26,26,1,"dicot","107","6"
"98","dicot-sim-107-7-20.rsml",33.518276,2.54,19.498734,2.2368557,1,19,19.998766,0.038394682,1.7904078,18,4,0.7510839,0.0096183885,59.757298,37,19,19,1,"dicot","107","7"
"99","dicot-sim-107-8-20.rsml",34.631805,2.3283334,19.490267,2.3060029,1,19,19.998287,0.038761925,1.3739686,17,6,0.8607951,0.009561666,64.365456,35,18,18,1,"dicot","107","8"
