"","image","specie","group","id","PL.PC1","PL.PC2","PL.PC3","width50","count50","width_depth_ratio","com_y","com_x","convexhull","exploration"
"7789","monocot-sim-35-8-9.rsml.jpg","monocot","35","8",928.95832927505,195.934545580749,164.485664101791,0.683469002433575,41.604652,0.8374778,0.37553194,0.44258958,25696,0.0430984160958904
"7790","monocot-sim-35-9-9.rsml.jpg","monocot","35","9",994.307655250149,61.4264454827382,-103.733379435062,0.668328067752727,40.075,0.93442625,0.37007794,0.512812,105713,0.00912098606604675
"7791","monocot-sim-350-1-20.rsml.jpg","monocot","350","1",148.238271855875,-97.2729913637593,-533.973325293337,0.558598443230093,2.675,0.6926641,0.36735848,0.5530501,243435,0.000427930618029453
"7792","monocot-sim-350-10-20.rsml.jpg","monocot","350","10",-147.684492148705,-148.878597286131,-146.768984252752,0.530674818742575,11.037736,0.45131195,0.41610232,0.5162368,172904,0.000818833572386989
"7793","monocot-sim-350-2-20.rsml.jpg","monocot","350","2",256.138845888014,-190.782179916863,728.190188005254,0.505030924842358,4.205128,0.61750406,0.4008153,0.37683585,40480,0.00203479347826087
"7794","monocot-sim-350-3-20.rsml.jpg","monocot","350","3",-134.44806438374,-52.0252974907195,-349.629752368861,0.590356511996085,6.962264,0.4830805,0.38911283,0.52367485,83245,0.0019079368130218
"7795","monocot-sim-350-4-20.rsml.jpg","monocot","350","4",-28.4116384587721,105.122053204127,-13.1424714861996,0.748500819336638,5.773585,0.53119534,0.38839957,0.42503074,156823,0.000987938822749214
"7796","monocot-sim-350-5-20.rsml.jpg","monocot","350","5",212.980506588451,-157.03533557119,-452.87490263815,0.524938098065836,5.255814,0.6188083,0.38816774,0.64068204,297893,0.000372124739419859
"7797","monocot-sim-350-6-20.rsml.jpg","monocot","350","6",-421.407680920967,109.686698040914,93.4169242360076,0.813745664368445,8.0188675,0.38017493,0.40923986,0.5194502,112460,0.00122354855059577
"7798","monocot-sim-350-7-20.rsml.jpg","monocot","350","7",-354.845676634345,29.5476218100648,-69.4288104770373,0.65025468414298,7.075472,0.37376094,0.39808556,0.6376375,102693,0.00138823230405188
"7799","monocot-sim-350-8-20.rsml.jpg","monocot","350","8",-241.451131152664,-73.8623193418469,429.814595543323,0.58275527423192,6.6603775,0.4180758,0.39045322,0.4903836,54607,0.00280899152123354
"7800","monocot-sim-350-9-20.rsml.jpg","monocot","350","9",92.2081267209397,-172.765402460961,717.445908346932,0.513873066387,5.7608695,0.5749832,0.4037853,0.38569528,58073,0.00177110075250116
"7801","monocot-sim-351-1-11.rsml.jpg","monocot","351","1",176.973994977404,242.544888506594,-21.3451105533741,0.752042425586502,41.75862,0.47321868,0.3390291,0.459236,32344,0.0344791367796191
"7802","monocot-sim-351-10-11.rsml.jpg","monocot","351","10",127.716398961245,66.9221559860701,-174.956474107292,0.699723820912538,38.559322,0.42539835,0.33496827,0.5192112,75496,0.0142638921267352
"7803","monocot-sim-351-2-11.rsml.jpg","monocot","351","2",173.248958134879,90.1478229178021,87.0124929878883,0.697793568555924,40.949154,0.43795267,0.3351221,0.4572853,38926,0.0271861660586754
"7804","monocot-sim-351-3-11.rsml.jpg","monocot","351","3",215.290793159896,180.488780164859,3.23027253572631,0.733891583816104,28.75926,0.49400103,0.3374213,0.51634014,104859,0.0086785988804013
"7805","monocot-sim-351-4-11.rsml.jpg","monocot","351","4",169.231611493644,113.989278760818,-7.54439367804671,0.705056848579658,42.83051,0.46306133,0.34439924,0.55475307,125838,0.00864166785867544
"7806","monocot-sim-351-5-11.rsml.jpg","monocot","351","5",135.883612385667,147.106196903557,-104.98616888098,0.71542483522642,43.050846,0.42056978,0.34090927,0.5078516,71744,0.0147993184099019
"7807","monocot-sim-351-6-11.rsml.jpg","monocot","351","6",167.320005020479,25.2544520233826,-73.649657753379,0.67126267914347,35.145454,0.47633904,0.35040256,0.5226321,144447,0.00680516071638733
"7808","monocot-sim-351-7-11.rsml.jpg","monocot","351","7",107.233497300579,197.407240154667,38.7250290430125,0.748473474572103,43.42373,0.45243844,0.34646648,0.5121941,44935,0.023990237009013
"7809","monocot-sim-351-8-11.rsml.jpg","monocot","351","8",90.7798869398318,199.446892180879,-112.726544289117,0.740110289959022,40.728813,0.42008692,0.3419577,0.50475407,64158,0.016177828174195
"7810","monocot-sim-351-9-11.rsml.jpg","monocot","351","9",14.6765150999911,163.015621223193,-40.9886678254819,0.746380600908364,44.101696,0.4017383,0.34688404,0.5347636,49260,0.0211503369874137
"7811","monocot-sim-352-1-20.rsml.jpg","monocot","352","1",-206.918378775604,96.0468189089874,-33.4865670600611,0.715909075887491,28.31884,0.34360904,0.37640882,0.4919719,93238,0.00957587464338574
