"","image","specie","group","id","tot_root_length","tot_prim_length","mean_prim_length","tot_lat_length","mean_lat_length","width","depth","n_laterals","n_primary","mean_lat_density"
"94","dicot-sim-107-3-20.rsml","dicot","107","3",47.964336,19,19.999474,15,1.1652029,3.8862,19.498734,24,1,2.002128
"95","dicot-sim-107-4-20.rsml","dicot","107","4",39.25446,19,19.999432,6,1.0134224,2.6331334,19.498734,19,1,1.6943222
"96","dicot-sim-107-5-20.rsml","dicot","107","5",38.869457,19,19.999998,8,0.9434728,2.8617332,19.490267,20,1,1.6683769
"97","dicot-sim-107-6-20.rsml","dicot","107","6",46.6116,19,19.99961,13,1.0644795,3.5052,19.490267,25,1,2.308974
"98","dicot-sim-107-7-20.rsml","dicot","107","7",33.518276,19,19.998766,4,0.7510839,2.54,19.498734,18,1,1.7904078
"99","dicot-sim-107-8-20.rsml","dicot","107","8",34.631805,19,19.998287,6,0.8607951,2.3283334,19.490267,17,1,1.3739686
"100","dicot-sim-107-9-20.rsml","dicot","107","9",48.02347,19,19.998178,16,1.2184911,3.937,19.490267,23,1,2.0511928
"101","dicot-sim-108-1-20.rsml","dicot","108","1",64.00659,21,21.999445,23,1.2002043,3.7846,21.496866,35,1,2.0190184
"102","dicot-sim-108-10-20.rsml","dicot","108","10",62.51753,21,21.99987,17,1.066254,2.8194,21.496866,38,1,2.7937715
"103","dicot-sim-108-2-20.rsml","dicot","108","2",52.467133,21,21.999384,14,1.088134,3.0226,21.496866,28,1,2.3860717
"104","dicot-sim-108-3-20.rsml","dicot","108","3",58.405342,21,21.999664,16,0.9839373,2.8617332,21.496866,37,1,2.6176076
"105","dicot-sim-108-4-20.rsml","dicot","108","4",55.59252,21,21.998762,16,1.0179927,2.5992665,21.496866,33,1,2.8964577
"106","dicot-sim-108-5-20.rsml","dicot","108","5",53.04743,21,21.99928,14,1.0706259,2.5061333,21.496866,29,1,2.416372
"107","dicot-sim-108-6-20.rsml","dicot","108","6",53.88977,21,21.998938,13,0.99658865,2.2606,21.496866,32,1,2.878372
"108","dicot-sim-108-7-20.rsml","dicot","108","7",65.197556,21,21.999985,22,1.1675018,3.6152666,21.496866,37,1,3.2554834
"109","dicot-sim-108-8-20.rsml","dicot","108","8",47.331577,21,21.998734,13,0.97434014,2.6077332,21.496866,26,1,1.8747879
"110","dicot-sim-108-9-20.rsml","dicot","108","9",62.398582,22,22,20,1.0358613,2.8702,21.496866,39,1,3.0464942
"111","dicot-sim-109-1-20.rsml","dicot","109","1",184.80629,16,16.99965,89,1.2908201,3.2427332,16.493067,130,1,9.789121
"112","dicot-sim-109-10-20.rsml","dicot","109","10",167.1546,16,16.999773,70,1.1639911,2.7432,16.493067,129,1,9.610389
"113","dicot-sim-109-2-20.rsml","dicot","109","2",161.65376,16,16.999996,66,1.1127211,2.9464,16.493067,130,1,9.684728
"114","dicot-sim-109-3-20.rsml","dicot","109","3",179.77055,16,16.999954,84,1.2057081,3.2766,16.493067,135,1,10.220342
"115","dicot-sim-109-4-20.rsml","dicot","109","4",174.70517,16,16.999996,81,1.2417729,2.7178,16.493067,127,1,9.411175
"116","dicot-sim-109-5-20.rsml","dicot","109","5",163.8225,16,16.999937,75,1.1840531,3.0649333,16.493067,124,1,9.337111
"117","dicot-sim-109-6-20.rsml","dicot","109","6",180.44548,16,16.999893,88,1.2382246,2.8278666,16.493067,132,1,9.781769
"118","dicot-sim-109-7-20.rsml","dicot","109","7",170.00082,16,16.999895,80,1.2541063,3.3528,16.493067,122,1,9.040724
"119","dicot-sim-109-8-20.rsml","dicot","109","8",164.38701,16,16.99988,70,1.151462,3.2258,16.493067,128,1,9.48536
"120","dicot-sim-109-9-20.rsml","dicot","109","9",172.94519,16,16.999504,76,1.2279186,2.9802666,16.493067,127,1,9.411517
"121","dicot-sim-11-1-20.rsml","dicot","11","1",23.954828,11,11.499558,2,0.65554047,1.7864666,10.998199,19,1,2.9455042
"122","dicot-sim-11-10-20.rsml","dicot","11","10",36.006973,11,11.499568,7,0.7426487,2.1166666,10.998199,33,1,3.8004344
"123","dicot-sim-11-2-20.rsml","dicot","11","2",38.559135,11,11.49973,12,0.933083,2.5738666,10.998199,29,1,3.5421374
"124","dicot-sim-11-3-20.rsml","dicot","11","3",35.93767,11,11.499878,7,0.84268254,2.6839333,10.998199,29,1,3.4379203
"125","dicot-sim-11-4-20.rsml","dicot","11","4",31.732529,11,11.499989,5,0.7225906,1.8880666,10.998199,28,1,3.0502121
"126","dicot-sim-11-5-20.rsml","dicot","11","5",33.473618,11,11.499276,8,0.81386477,2.3791332,10.998199,27,1,3.200951
"127","dicot-sim-11-6-20.rsml","dicot","11","6",35.3892,11,11.4992695,5,0.7026449,1.9134667,10.998199,34,1,3.8069427
"128","dicot-sim-11-7-20.rsml","dicot","11","7",38.072254,11,11.499951,11,0.98415965,3.1326666,10.998199,27,1,3.2008076
"129","dicot-sim-11-8-20.rsml","dicot","11","8",39.942802,11,11.499644,12,0.8888488,2.54,10.998199,32,1,3.582892
"130","dicot-sim-11-9-20.rsml","dicot","11","9",36.005226,11,11.499814,14,0.94251597,2.3452666,10.998199,26,1,2.9942267
"131","dicot-sim-110-1-20.rsml","dicot","110","1",40.16952,22,22.499756,7,0.98165345,1.6764,21.996399,18,1,1.6672691
"132","dicot-sim-110-10-20.rsml","dicot","110","10",39.8507,22,22.499989,4,1.0206305,1.8372667,21.996399,17,1,1.6049242
"133","dicot-sim-110-2-20.rsml","dicot","110","2",34.609932,22,22.499947,3,0.75687385,1.3631333,21.996399,16,1,1.1551024
"134","dicot-sim-110-3-20.rsml","dicot","110","3",39.416805,22,22.499865,7,0.99511415,2.1166666,21.996399,17,1,1.7386686
"135","dicot-sim-110-4-20.rsml","dicot","110","4",35.480587,22,22.499905,2,0.72114944,1.4224,21.996399,18,1,1.3188865
"136","dicot-sim-110-5-20.rsml","dicot","110","5",35.55228,22,22.499569,3,0.9323364,1.3038666,21.996399,14,1,1.0909325
"137","dicot-sim-110-6-20.rsml","dicot","110","6",35.35702,22,22.499989,3,0.8035646,1.9557999,21.996399,16,1,1.2272953
"138","dicot-sim-110-7-20.rsml","dicot","110","7",36.680416,22,22.499958,2,0.7463397,1.6256,21.996399,19,1,1.6958988
"139","dicot-sim-110-8-20.rsml","dicot","110","8",35.06246,22,22.499998,5,0.89731854,2.1759334,21.996399,14,1,1.6363935
"140","dicot-sim-110-9-20.rsml","dicot","110","9",35.750957,22,22.499836,5,0.946509,1.4393333,21.996399,14,1,1.0107205
"141","dicot-sim-111-1-20.rsml","dicot","111","1",148.4604,19,19.499964,106,2.8034875,4.072467,18.999199,46,1,2.8120148
"142","dicot-sim-111-10-20.rsml","dicot","111","10",158.99953,19,19.499882,114,2.8469315,3.7761333,18.999199,49,1,2.9954162
"143","dicot-sim-111-2-20.rsml","dicot","111","2",160.76335,19,19.499983,115,2.9429865,3.8608,18.999199,48,1,3.0181096
"144","dicot-sim-111-3-20.rsml","dicot","111","3",153.46045,19,19.499971,110,3.189536,4.1486664,18.999199,42,1,2.640847
"145","dicot-sim-111-4-20.rsml","dicot","111","4",149.85971,19,19.499767,107,2.8968875,3.6152666,18.999199,45,1,2.9127069
"146","dicot-sim-111-5-20.rsml","dicot","111","5",153.4321,19,19.499998,110,2.9115677,3.8692665,18.999199,46,1,2.812011
"147","dicot-sim-111-6-20.rsml","dicot","111","6",149.8736,19,19.499908,108,2.9630384,3.81,18.999199,44,1,2.7666054
"148","dicot-sim-111-7-20.rsml","dicot","111","7",161.66458,19,19.499887,119,3.090536,3.8523333,18.999199,46,1,2.812023
"149","dicot-sim-111-8-20.rsml","dicot","111","8",157.40234,19,19.5,113,2.8729653,4.0386,18.999199,48,1,2.9342723
"150","dicot-sim-111-9-20.rsml","dicot","111","9",144.35042,19,19.49984,102,2.7141426,3.4205332,18.999199,46,1,2.812028
"151","dicot-sim-112-1-20.rsml","dicot","112","1",245.67392,19,19.499819,189,3.3757324,2.8194,18.999199,67,1,4.647027
"152","dicot-sim-112-10-20.rsml","dicot","112","10",202.85066,19,19.499983,149,3.1612191,2.8702,18.999199,58,1,4.0227537
"153","dicot-sim-112-2-20.rsml","dicot","112","2",230.94798,19,19.499897,178,3.253047,2.5738666,18.999199,65,1,4.5082855
"154","dicot-sim-112-3-20.rsml","dicot","112","3",199.4246,19,19.49976,143,3.2129443,2.7601333,18.999199,56,1,3.8840983
"155","dicot-sim-112-4-20.rsml","dicot","112","4",217.46454,19,19.499855,164,3.1422963,2.5992665,18.999199,63,1,3.9768076
"156","dicot-sim-112-5-20.rsml","dicot","112","5",235.20622,19,19.499973,181,3.4791334,2.8956,18.999199,62,1,4.247747
"157","dicot-sim-112-6-20.rsml","dicot","112","6",231.79413,19,19.499561,178,3.4241054,2.9125333,18.999199,62,1,4.4091387
"158","dicot-sim-112-7-20.rsml","dicot","112","7",210.40419,19,19.499796,159,3.2356682,2.794,18.999199,59,1,4.3047123
"159","dicot-sim-112-8-20.rsml","dicot","112","8",236.14679,19,19.500002,181,3.3851063,2.794,18.999199,64,1,4.5512724
"160","dicot-sim-112-9-20.rsml","dicot","112","9",222.29222,19,19.499811,166,3.2708452,2.7178,18.999199,62,1,4.300236
"161","dicot-sim-113-1-14.rsml","dicot","113","1",320.08316,16,16.999851,243,3.0926871,5.9944,16.493067,98,1,7.0635962
"162","dicot-sim-113-10-14.rsml","dicot","113","10",309.0484,16,16.99997,232,2.9499848,6.0790668,16.493067,99,1,7.1356134
"163","dicot-sim-113-2-14.rsml","dicot","113","2",308.16354,16,16.999851,235,3.0016873,6.3330665,16.493067,97,1,6.9915185
"164","dicot-sim-113-3-14.rsml","dicot","113","3",321.99182,16,16.99955,251,3.2104452,6.9003334,16.493067,95,1,6.8475122
"165","dicot-sim-113-4-14.rsml","dicot","113","4",309.2346,16,16.999887,235,3.044111,6.383867,16.493067,96,1,6.919423
"166","dicot-sim-113-5-14.rsml","dicot","113","5",367.11423,16,16.999735,290,3.432495,6.6294,16.493067,102,1,7.351968
"167","dicot-sim-113-6-14.rsml","dicot","113","6",298.41953,16,16.999577,226,2.9012365,6.4854665,16.493067,97,1,7.1300635
"168","dicot-sim-113-7-14.rsml","dicot","113","7",322.86145,16,16.99964,248,3.121039,6.544733,16.493067,98,1,7.0637035
